Time Index,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
13,-0.013000000000000001,0.013000000000000001,1.8734306467413174e-07,1.1642133592587589e-07,89.99971764451729,1955.0722814670025,1918.6189410232332,-0.0005052907944061265,-3.0637229544904944e-06,1.0319930159085307
14,-0.014,0.014,2.182358849330568e-07,1.1641781752502744e-07,89.99969778464242,2089.458883626338,2091.8074939649773,-0.0005184323715134193,-3.402786802687413e-06,0.9990049045195581
15,-0.015,0.015,2.5149718083454216e-07,1.1641189983507827e-07,89.99967470533039,1768.7895477101993,1873.3237598842761,-0.0005853008937376641,-4.098641518576452e-06,1.0325812258347002
16,-0.016,0.016,2.8712839629734357e-07,1.1640399746187802e-07,89.99964841248415,1795.1051271248552,1899.9807160619014,-0.0006005806846823687,-4.7707769023652825e-06,0.9511985058269198
17,-0.017,0.017,3.2513066892334166e-07,1.1639442189237403e-07,89.99961895056018,1960.2534516261446,1952.5609825762663,-0.0006233040204488172,-4.837463670151178e-06,1.0113289940880565
18,-0.018000000000000002,0.018000000000000002,3.6550489490350157e-07,1.1638340622482923e-07,89.99958638687592,1841.6847229778302,1889.0845262247665,-0.0006699292484910478,-5.94372644156811e-06,0.9784299290477918
19,-0.019,0.019,4.0825178020749593e-07,1.1637112403567462e-07,89.99955079941064,1969.1479062122348,2058.111784325861,-0.0006827155851471514,-7.071375906079103e-06,0.9344937261397857
20,-0.02,0.02,4.533718809054412e-07,1.1635770377077526e-07,89.99951226834328,1955.4069965769258,1801.3624548377416,-0.0007377473519785912,-7.48757564932874e-06,1.0123409437062914
21,-0.021,0.021,5.008656349687399e-07,1.1634323974357708e-07,89.99947087078279,1839.3090448706266,2008.092919730226,-0.0007881002748441057,-8.171033219715055e-06,0.9284989200657853
22,-0.022,0.022,5.50733387318607e-07,1.1632780048259628e-07,89.99942667788304,2037.6368001874973,1931.2584660257503,-0.0007811553074935548,-9.22131050190107e-06,1.0768219172770828
23,-0.023,0.023,6.029754095650811e-07,1.1631143508050723e-07,89.99937975357362,1766.7255138861783,2033.0569164827489,-0.00093025508454086,-9.905314540290662e-06,0.9890314928235387
24,-0.024,0.024,6.575919155782828e-07,1.1629417798891817e-07,89.99933015429815,1780.4626665608178,1894.2314826270456,-0.0009121798174963162,-1.0572412159486778e-05,1.0444553677122377
25,-0.025,0.025,7.145830737341927e-07,1.1627605265435159e-07,89.99927792932776,2058.3149871767387,1898.4263195487713,-0.0009119553426377294,-1.1534996916711647e-05,1.0282533611899736
26,-0.026000000000000002,0.026000000000000002,7.739490165763842e-07,1.1625707432155741e-07,89.99922312136526,1911.8635244276777,1972.0787123994612,-0.001008893317951686,-1.2770226641986606e-05,0.9528117450225925
27,-0.027,0.027,8.356898484228328e-07,1.1623725201803659e-07,89.99916576726471,1975.2984704495311,1775.799146059693,-0.0011107636314330496,-1.3792521862758256e-05,0.9622494387990598
28,-0.028,0.028,8.998056513583565e-07,1.1621659017774233e-07,89.99910589876445,1951.5122793500698,1961.2511025247159,-0.0011498713352732363,-1.4784060240224656e-05,1.0127865476759916
29,-0.029,0.029,9.662964899788531e-07,1.1619508980681426e-07,89.9990435431795,2030.4209302858035,1941.3798390870088,-0.0011164897019371785,-1.551593241817102e-05,1.0139232700435161
30,-0.03,0.03,1.0351624150716865e-06,1.1617274923297893e-07,89.99897872402788,1977.4034756567721,1811.6473731088088,-0.0011175492759853333,-1.7597049561465657e-05,0.9664155648905663
31,-0.031,0.031,1.1064034665642482e-06,1.1614956495209494e-07,89.99891146158244,1765.0437607654867,1835.9184111968175,-0.001261248541485261,-1.9364476498767963e-05,1.0249901733795912
32,-0.032,0.032,1.1800196758343114e-06,1.161255319334642e-07,89.99884177334866,1964.899809919469,1840.1557454856843,-0.0012334159288934442,-1.9383099766831732e-05,0.99004998738138
