,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
17259,-0.741,-0.741,1.0319445606104192,3.403829809161403,415.6129960252902,792.2422845810747,1969.5567017710828,0.0,-0.5647798338184532,0.8252416248057295
17260,-0.74,-0.74,1.0320494628167525,3.403983089540794,415.6129960252902,792.1662054770749,1969.5046332335655,0.0,-0.5647798338184532,0.8252416248057295
17261,-0.7390000000000001,-0.7390000000000001,1.0321542232633474,3.404136162784538,415.6129960252902,792.0902291826749,1969.4526350589376,0.0,-0.5647798338184532,0.8252416248057295
17262,-0.7380000000000001,-0.7380000000000001,1.0322588419502043,3.4042890288926335,415.6129960252902,792.0143556978749,1969.400707247198,0.0,-0.5647798338184532,0.8252416248057295
17263,-0.737,-0.737,1.032363318877323,3.4044416878650807,415.6129960252902,791.9385850226753,1969.3488497983467,0.0,-0.5647798338184532,0.8252416248057295
17264,-0.736,-0.736,1.0324676540447035,3.4045941397018815,415.6129960252902,791.8629171570751,1969.297062712384,0.0,-0.5647798338184532,0.8252416248057295
17265,-0.735,-0.735,1.0325718474523455,3.4047463844030337,415.6129960252902,791.7873521010752,1969.24534598931,0.0,-0.5647798338184532,0.8252416248057295
17266,-0.734,-0.734,1.032675899100249,3.404898421968537,415.6129960252902,791.7118898546755,1969.1936996291247,0.0,-0.5647798338184532,0.8252416248057295
17267,-0.733,-0.733,1.0327798089884146,3.4050502523983943,415.6129960252902,791.6365304178754,1969.1421236318267,0.0,-0.5647798338184532,0.8252416248057295
17268,-0.732,-0.732,1.0328835771168414,3.405201875692603,415.6129960252902,791.5612737906755,1969.0906179974183,0.0,-0.5647798338184532,0.8252416248057295
17269,-0.731,-0.731,1.0329872034855307,3.4053532918511626,415.6129960252902,791.4861199730759,1969.0391827258986,0.0,-0.5647798338184532,0.8252416248057295
17270,-0.7300000000000001,-0.7300000000000001,1.0330906880944812,3.405504500874076,415.6129960252902,791.4110689650757,1968.9878178172671,0.0,-0.5647798338184532,0.8252416248057295
17271,-0.729,-0.729,1.033194030943693,3.4056555027613413,415.6129960252902,791.3361207666759,1968.9365232715245,0.0,-0.5647798338184532,0.8252416248057295
17272,-0.728,-0.728,1.0332972320331673,3.4058062975129597,415.6129960252902,791.2612753778754,1968.8852990886703,0.0,-0.5647798338184532,0.8252416248057295
17273,-0.727,-0.727,1.0334002913629028,3.4059568851289295,415.6129960252902,791.1865327986753,1968.8341452687043,0.0,-0.5647798338184532,0.8252416248057295
17274,-0.726,-0.726,1.0335032089329006,3.406107265609251,415.6129960252902,791.1118930290755,1968.7830618116268,0.0,-0.5647798338184532,0.8252416248057295
17275,-0.725,-0.725,1.0336059847431598,3.4062574389539257,415.6129960252902,791.0373560690751,1968.7320487174381,0.0,-0.5647798338184532,0.8252416248057295
17276,-0.7240000000000001,-0.7240000000000001,1.0337086187936801,3.4064074051629523,415.6129960252902,790.9629219186752,1968.6811059861382,0.0,-0.5647798338184532,0.8252416248057295
17277,-0.7230000000000001,-0.7230000000000001,1.033811111084463,3.40655716423633,415.6129960252902,790.8885905778752,1968.6302336177264,0.0,-0.5647798338184532,0.8252416248057295
17278,-0.7220000000000001,-0.7220000000000001,1.033913461615507,3.4067067161740616,415.6129960252902,790.8143620466749,1968.5794316122028,0.0,-0.5647798338184532,0.8252416248057295
17279,-0.721,-0.721,1.0340156703868133,3.4068560609761445,415.6129960252902,790.7402363250749,1968.5286999695684,0.0,-0.5647798338184532,0.8252416248057295
17280,-0.72,-0.72,1.034117737398381,3.4070051986425787,415.6129960252902,790.6662134130752,1968.4780386898226,0.0,-0.5647798338184532,0.8252416248057295
17281,-0.719,-0.719,1.03421966265021,3.4071541291733665,415.6129960252902,790.5922933106744,1968.4274477729648,0.0,-0.5647798338184532,0.8252416248057295
17282,-0.718,-0.718,1.0343214461423014,3.4073028525685056,415.6129960252902,790.5184760178747,1968.3769272189957,0.0,-0.5647798338184532,0.8252416248057295
17283,-0.717,-0.717,1.0344230878746539,3.4074513688279966,415.6129960252902,790.444761534675,1968.3264770279154,0.0,-0.5647798338184532,0.8252416248057295
17284,-0.716,-0.716,1.0345245878472689,3.4075996779518407,415.6129960252902,790.3711498610746,1968.2760971997232,0.0,-0.5647798338184532,0.8252416248057295
17285,-0.715,-0.715,1.034625946060145,3.4077477799400366,415.6129960252902,790.2976409970746,1968.2257877344198,0.0,-0.5647798338184532,0.8252416248057295
17286,-0.7140000000000001,-0.7140000000000001,1.0347271625132826,3.407895674792584,415.6129960252902,790.2242349426749,1968.1755486320053,0.0,-0.5647798338184532,0.8252416248057295
17287,-0.713,-0.713,1.0348282372066824,3.408043362509485,415.6129960252902,790.1509316978746,1968.1253798924788,0.0,-0.5647798338184532,0.8252416248057295
17288,-0.712,-0.712,1.0349291701403436,3.408190843090737,415.6129960252902,790.0777312626748,1968.0752815158412,0.0,-0.5647798338184532,0.8252416248057295
17289,-0.711,-0.711,1.035029961314267,3.4083381165363407,415.6129960252902,790.0046336370751,1968.0252535020918,0.0,-0.5647798338184532,0.8252416248057295
17290,-0.7100000000000001,-0.7100000000000001,1.0351306107284517,3.408485182846298,415.6129960252902,789.9316388210747,1967.9752958512306,0.0,-0.5647798338184532,0.8252416248057295
17291,-0.7090000000000001,-0.7090000000000001,1.035231118382898,3.4086320420206064,415.6129960252902,789.8587468146748,1967.9254085632588,0.0,-0.5647798338184532,0.8252416248057295
17292,-0.7080000000000001,-0.7080000000000001,1.0353314842776062,3.408778694059267,415.6129960252902,789.7859576178753,1967.8755916381754,0.0,-0.5647798338184532,0.8252416248057295
17293,-0.7070000000000001,-0.7070000000000001,1.035431708412576,3.4089251389622803,415.6129960252902,789.7132712306748,1967.8258450759802,0.0,-0.5647798338184532,0.8252416248057295
17294,-0.706,-0.706,1.0355317907878079,3.4090713767296457,415.6129960252902,789.640687653075,1967.7761688766736,0.0,-0.5647798338184532,0.8252416248057295
17295,-0.705,-0.705,1.0356317314033012,3.4092174073613624,415.6129960252902,789.5682068850753,1967.7265630402558,0.0,-0.5647798338184532,0.8252416248057295
17296,-0.704,-0.704,1.035731530259056,3.4093632308574326,415.6129960252902,789.4958289266751,1967.677027566726,0.0,-0.5647798338184532,0.8252416248057295
17297,-0.703,-0.703,1.035831187355073,3.409508847217854,415.6129960252902,789.4235537778753,1967.6275624560851,0.0,-0.5647798338184532,0.8252416248057295
17298,-0.702,-0.702,1.0359307026913511,3.4096542564426273,415.6129960252902,789.3513814386757,1967.5781677083332,0.0,-0.5647798338184532,0.8252416248057295
17299,-0.701,-0.701,1.0360300762678916,3.409799458531754,415.6129960252902,789.2793119090754,1967.5288433234691,0.0,-0.5647798338184532,0.8252416248057295
17300,-0.7,-0.7,1.0361293080846936,3.409944453485232,415.6129960252902,789.2073451890757,1967.4795893014934,0.0,-0.5647798338184532,0.8252416248057295
17301,-0.6990000000000001,-0.6990000000000001,1.0362283981417568,3.4100892413030617,415.6129960252902,789.1354812786761,1967.430405642407,0.0,-0.5647798338184532,0.8252416248057295
17302,-0.698,-0.698,1.0363273464390823,3.4102338219852446,415.6129960252902,789.0637201778758,1967.3812923462085,0.0,-0.5647798338184532,0.8252416248057295
17303,-0.697,-0.697,1.0364261529766692,3.410378195531779,415.6129960252902,788.9920618866762,1967.332249412899,0.0,-0.5647798338184532,0.8252416248057295
17304,-0.6960000000000001,-0.6960000000000001,1.036524817754518,3.410522361942667,415.6129960252902,788.9205064050757,1967.2832768424776,0.0,-0.5647798338184532,0.8252416248057295
17305,-0.6950000000000001,-0.6950000000000001,1.0366233407726286,3.4106663212179065,415.6129960252902,788.8490537330756,1967.234374634945,0.0,-0.5647798338184532,0.8252416248057295
17306,-0.6940000000000001,-0.6940000000000001,1.0367217220310003,3.4108100733574975,415.6129960252902,788.7777038706759,1967.185542790301,0.0,-0.5647798338184532,0.8252416248057295
17307,-0.6930000000000001,-0.6930000000000001,1.0368199615296343,3.4109536183614417,415.6129960252902,788.7064568178754,1967.136781308545,0.0,-0.5647798338184532,0.8252416248057295
17308,-0.6920000000000001,-0.6920000000000001,1.0369180592685299,3.4110969562297377,415.6129960252902,788.6353125746753,1967.0880901896783,0.0,-0.5647798338184532,0.8252416248057295
17309,-0.6910000000000001,-0.6910000000000001,1.0370160152476875,3.411240086962385,415.6129960252902,788.5642711410757,1967.0394694336997,0.0,-0.5647798338184532,0.8252416248057295
17310,-0.69,-0.69,1.0371138294671063,3.411383010559386,415.6129960252902,788.4933325170754,1966.99091904061,0.0,-0.5647798338184532,0.8252416248057295
17311,-0.689,-0.689,1.0372115019267867,3.4115257270207384,415.6129960252902,788.4224967026752,1966.9424390104089,0.0,-0.5647798338184532,0.8252416248057295
17312,-0.688,-0.688,1.0373090326267294,3.4116682363464426,415.6129960252902,788.3517636978753,1966.8940293430953,0.0,-0.5647798338184532,0.8252416248057295
17313,-0.6869999999999999,-0.6869999999999999,1.0374064215669332,3.4118105385365,415.6129960252902,788.281133502675,1966.845690038671,0.0,-0.5647798338184532,0.8252416248057295
17314,-0.6859999999999999,-0.6859999999999999,1.0375036687473993,3.4119526335909085,415.6129960252902,788.210606117075,1966.7974210971347,0.0,-0.5647798338184532,0.8252416248057295
17315,-0.685,-0.685,1.037600774168127,3.412094521509669,415.6129960252902,788.1401815410754,1966.749222518488,0.0,-0.5647798338184532,0.8252416248057295
17316,-0.684,-0.684,1.037697737829116,3.4122362022927826,415.6129960252902,788.0698597746749,1966.7010943027292,0.0,-0.5647798338184532,0.8252416248057295
17317,-0.683,-0.683,1.0377945597303668,3.412377675940248,415.6129960252902,787.9996408178748,1966.653036449859,0.0,-0.5647798338184532,0.8252416248057295
17318,-0.6819999999999999,-0.6819999999999999,1.0378912398718794,3.4125189424520648,415.6129960252902,787.9295246706754,1966.6050489598774,0.0,-0.5647798338184532,0.8252416248057295
17319,-0.681,-0.681,1.0379877782536542,3.412660001828235,415.6129960252902,787.859511333075,1966.557131832784,0.0,-0.5647798338184532,0.8252416248057295
17320,-0.68,-0.68,1.0380841748756902,3.412800854068757,415.6129960252902,787.7896008050752,1966.5092850685794,0.0,-0.5647798338184532,0.8252416248057295
17321,-0.679,-0.679,1.0381804297379877,3.4129414991736304,415.6129960252902,787.7197930866755,1966.4615086672638,0.0,-0.5647798338184532,0.8252416248057295
17322,-0.678,-0.678,1.0382765428405474,3.413081937142857,415.6129960252902,787.6500881778752,1966.413802628836,0.0,-0.5647798338184532,0.8252416248057295
17323,-0.677,-0.677,1.0383725141833684,3.413222167976435,415.6129960252902,787.5804860786751,1966.366166953297,0.0,-0.5647798338184532,0.8252416248057295
17324,-0.676,-0.676,1.0384683437664517,3.413362191674365,415.6129960252902,787.5109867890756,1966.3186016406464,0.0,-0.5647798338184532,0.8252416248057295
17325,-0.6749999999999999,-0.6749999999999999,1.0385640315897964,3.413502008236648,415.6129960252902,787.4415903090754,1966.2711066908848,0.0,-0.5647798338184532,0.8252416248057295
17326,-0.6739999999999999,-0.6739999999999999,1.0386595776534022,3.413641617663283,415.6129960252902,787.3722966386754,1966.2236821040112,0.0,-0.5647798338184532,0.8252416248057295
17327,-0.6729999999999999,-0.6729999999999999,1.0387549819572706,3.413781019954269,415.6129960252902,787.303105777876,1966.1763278800263,0.0,-0.5647798338184532,0.8252416248057295
17328,-0.6719999999999999,-0.6719999999999999,1.0388502445014,3.413920215109609,415.6129960252902,787.2340177266755,1966.1290440189298,0.0,-0.5647798338184532,0.8252416248057295
17329,-0.6709999999999999,-0.6709999999999999,1.0389453652857918,3.4140592031293,415.6129960252902,787.1650324850758,1966.0818305207222,0.0,-0.5647798338184532,0.8252416248057295
17330,-0.67,-0.67,1.039040344310445,3.4141979840133425,415.6129960252902,787.0961500530763,1966.034687385403,0.0,-0.5647798338184532,0.8252416248057295
