time,lidar_F_data,lidar_R_data,compass_data_1,compass_data_2,compass_data_3,gyro_data_1,gyro_data_2,gyro_data_3,position_data_1,position_data_2,position_data_3,angle_data,motor_L_velocity,motor_R_velocity
15.21,247.799505779689,347.622096304551,-0.985646736403789,-0.000734435568476497,-0.306721751176908,0.58861555263314,-0.76275086746908,-0.000491175723393459,0.325531759420846,0.0148569114656191,-0.167216084112422,-2.8254550477727,-4,-1
15.22,238.012659811554,345.428171618149,-0.941074736858805,-0.000567981668195984,-0.28602636710061,-0.194366871776786,-0.79618865741623,-0.0335998445916955,0.326251397232259,0.0149988442458098,-0.166422936298882,-2.83403777561797,-4,-1
15.23,246.080217382493,333.480918934663,-0.949839877017733,-0.000540622712953581,-0.306608918893603,0.0184505934267794,-0.80238144093297,0.0107285207585967,0.326946215295865,0.0149996852581815,-0.165643268428394,-2.84236117469535,-4,-1
15.24,261.136225364199,355.670247790091,-0.898853058502051,0.0111117195396856,-0.29665606443494,-0.832065116698407,-0.71346882315951,1.06130863963482,0.327703434848166,0.0146324773670028,-0.164819837975174,-2.85007986106715,-4,-1
15.25,250.698395577768,317.133434166223,-0.977108230220569,0.00219617199151867,-0.268334355752756,0.68435740182598,-0.791210272256986,-0.744777170563008,0.32825876218732,0.0149260385994597,-0.164107928905848,-2.85804672522562,-4,-1
15.26,283.507063344,353.59987852295,-0.934044608799645,0.00125887627622326,-0.269688659096493,0.0878340902244825,-0.862503245180112,-0.0832457302481742,0.32891443809686,0.0149589575590099,-0.163318197431815,-2.86639117727367,-4,-1
15.27,245.791689564863,333.692655711101,-1.02292930157001,0.000878244697917118,-0.263984820932828,0.0348884486973606,-0.875690121638902,-0.0349567092546527,0.329574098423417,0.0149722924930547,-0.162514757942881,-2.8747704897169,-4,-1
15.28,231.658520888073,325.038770516067,-0.871225629455866,3.86517052028721e-07,-0.254033175856474,0.0621755070303318,-0.811226013196859,-0.0672646231857394,0.330227584647684,0.0149992984647874,-0.161711234497191,-2.88309592365166,-4,-1
15.29,241.792347201645,322.190797062379,-1.02845692229354,-0.000282591509595464,-0.232662704315912,0.0160679807229771,-0.777592952199252,-0.0240790836165697,0.330870912301979,0.0150085974971701,-0.160894577547336,-2.89145787009668,-4,-1
15.3,234.683620952388,319.957368804912,-0.971181450669991,0.011145189797028,-0.257098153655043,-0.880757716265421,-0.733293390920465,0.949431310857841,0.331568024914973,0.0146473047977245,-0.16002036178993,-2.89922095037197,-4,-1
15.31,226.748785536581,327.068183735804,-0.927397184463304,-0.0011402376192387,-0.236777210411525,0.351416459798195,-0.513947856726573,-1.16123200908907,0.331875160423051,0.0150933000095695,-0.15917396263793,-2.90405469651776,-4,-1
15.32,234.820010756225,300.396883960662,-0.913875342330424,8.88507228998443e-05,-0.216674345976973,0.0286154196792815,-0.852912306135166,0.129244336698943,0.33252620964114,0.0151678985788394,-0.158379203281189,-2.91209267432455,-4,-1
15.33,254.682779308203,336.682988026963,-0.901836793130559,-0.00102790695459014,-0.199883856058299,0.49250416464323,-0.838889805629417,-0.00308482667220356,0.333138419848848,0.0149441894614166,-0.157616852821966,-2.9204343101099,-4,-1
15.34,255.545785135216,307.57615315709,-1.0443051822747,-0.000225324265982124,-0.2180381747656,-0.205344877717611,-0.802078497982343,0.0399351615608306,0.333767681080926,0.0150390138115709,-0.156749637076471,-2.92878921286123,-4,-1
15.35,245.167968468302,330.604158784811,-1.04277455387137,-0.00107749136509928,-0.217167463967104,0.276269250916766,-0.85032808472357,-0.017040468216504,0.334366715097006,0.0149288363815651,-0.155944032732553,-2.9371098639538,-4,-1
15.36,223.922990534919,340.339868631032,-0.924596429816081,-0.000520245593535949,-0.192893168270931,-0.108005347007244,-0.794695909768111,0.0271710891375028,0.334977319137907,0.0149768700901536,-0.15508046842852,-2.94547098178059,-4,-1
15.37,232.582350047769,277.712280229728,-0.999346976518356,0.0101066199620917,-0.161000747972302,-0.875203775095068,-0.815452516017811,0.992815027262954,0.33567379675683,0.0146148383190139,-0.154176392498838,-2.95315206522665,-4,-1
15.38,236.964886970947,308.3732958507,-0.984158820707472,0.002602491715039,-0.181203336030321,0.591296589004618,-0.791693135276534,-0.70715058047059,0.336156018417998,0.0149060423363743,-0.153404668475411,-2.96117420266453,-4,-1
15.39,224.768266673122,334.071637819851,-0.98743807281313,0.00102950419633943,-0.173890776156959,0.118430640978621,-0.795745236535015,-0.130228921341778,0.336723071742179,0.0149579501905329,-0.152562767406462,-2.96945690635267,-4,-1
15.4,232.598852337295,318.066645609976,-0.86018442224551,2.04205900984629e-05,-0.165061329700648,0.0786718167038243,-0.860501400233597,-0.0877461911421802,0.337292605304535,0.01499132040332,-0.151706746383154,-2.97779431742584,-4,-1
15.41,243.022578091939,348.477751274955,-0.982606971807599,0.00913867251197938,-0.152539402101492,-0.769952189209011,-0.776255446338741,0.947286621002164,0.337925864854563,0.0146581457480932,-0.150797087144227,-2.98540135400118,-4,-1
15.42,220.446536332418,324.009051702086,-0.99402261856319,-0.00104189525283066,-0.156768204823663,0.317066306705597,-0.54925103775114,-1.15354598346881,0.33819281039552,0.0150662687378213,-0.149922535963852,-2.99060590347384,-4,-1
15.43,228.797673713701,338.026412452248,-1.01852853226639,1.41478124500355e-05,-0.139706861482677,0.0476341616204176,-0.78647589904847,0.120327369938875,0.338780756521919,0.0151301664183633,-0.149056018293044,-2.99889781309408,-4,-1
15.44,244.22252964689,319.921523247209,-0.959725345580473,-0.000720919419305713,-0.137040601577596,0.551816515537541,-0.840942385645851,-0.0103028398294137,0.339316969437824,0.0149076217670845,-0.148243457131803,-3.00722255259543,-4,-1
15.45,239.888755683383,320.366377388056,-1.02440256062396,-0.000858221583263083,-0.123052210478965,-0.149614081753617,-0.779595584524108,-0.0282714990782715,0.339868864847043,0.0150309486046847,-0.147335274653294,-3.01556609121292,-4,-1
15.46,218.334181312026,305.72007390449,-1.08310806321592,0.00903840411972931,-0.122800016407049,-0.785513448216585,-0.758170937450255,0.995647488754368,0.340526185504521,0.0146822390428953,-0.146396920425415,-3.02325072920834,-4,-1
15.47,245.671643406593,320.066446306505,-0.99384501054091,0.0019787673788121,-0.118171379863333,0.596525948097025,-0.766988158042941,-0.617218832457717,0.340965377526036,0.0149279322177017,-0.145586855800845,-3.03136935735921,-4,-1
15.48,227.264512966438,348.125205893095,-0.982373746981028,0.000887885833377325,-0.0989900996550385,0.136170747357578,-0.785745827814381,-0.120951711858128,0.341474257267605,0.0149705465327782,-0.144704491104519,-3.03968339304263,-4,-1
15.49,231.851698297861,344.74967261314,-1.03354898749567,9.25598374237159e-05,-0.0908350027353104,0.0727254382010389,-0.808767126112718,-0.0610683844684254,0.341984030950002,0.0149965347903283,-0.14380793936384,-3.04803985737013,-4,-1
15.5,204.958028160704,331.043118095136,-0.947712000707795,-0.000159087634495174,-0.0793249289084859,0.0332496317239972,-0.837060230961103,-0.0204376411196747,0.342493202891216,0.0150046490240985,-0.142898891007629,-3.05642117251865,-4,-1
