,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
29,-0.00725,-0.029,-3.0798338457316275e-10,6.79687499081183e-06,90.00519243001837,204.79721684099232,204.80000115015,6.0416666667340024e-06,9.062499987578971e-05,0.9999999958935547
30,-0.007500000000000001,-0.030000000000000002,-3.5192869063394026e-10,7.265624988747277e-06,90.00555052864033,204.79702496099065,204.80000116814998,6.249999999985434e-06,9.687499984829915e-05,0.9999999953076172
31,-0.00775,-0.031,-4.0041663851297925e-10,7.749999986344847e-06,90.00592056388301,204.79682669339311,204.80000118801064,6.458333333236865e-06,0.00010333333314916581,0.9999999946611111
32,-0.008,-0.032,-4.5374997625913237e-10,8.249999983490852e-06,90.00630253574643,204.79662203902632,204.800001209856,6.666666666710341e-06,0.00010999999977793789,0.99999999395
33,-0.00825,-0.033,-5.122411721458774e-10,8.765624980185294e-06,90.00669644423058,204.7964109987436,204.800001233814,6.874999999961773e-06,0.00011687499973365214,0.9999999931701172
34,-0.0085,-0.034,-5.762125283581554e-10,9.296874976314484e-06,90.00710228933546,204.79619357342492,204.80000126001664,7.083333333435249e-06,0.0001239583330157178,0.9999999923171659
35,-0.00875,-0.035,-6.459960673055321e-10,9.843749971878424e-06,90.00752007106108,204.7959697639768,204.8000012886,7.29166666668668e-06,0.00013124999962302387,0.9999999913867188
36,-0.009000000000000001,-0.036000000000000004,-7.219335884656175e-10,1.0406249966763425e-05,90.00794978940743,204.79573957133258,204.800001319704,7.499999999938112e-06,0.00013874999955460065,0.9999999903742187
37,-0.009250000000000001,-0.037000000000000005,-8.04376611540647e-10,1.0984374960912646e-05,90.00839144437451,204.79550299645223,204.80000135347265,7.708333333411588e-06,0.00014645833280961502,0.9999999892749784
38,-0.0095,-0.038,-8.936864901443186e-10,1.15781249542124e-05,90.00884503596232,204.79526004032226,204.80000446205395,7.91666666666302e-06,0.00015437499938669938,0.9999999880841797
39,-0.00975,-0.039,-9.902343549583747e-10,1.2187499946548997e-05,90.00931056417086,204.79501070395602,204.80000450159997,8.12499999991445e-06,0.00016249999928461282,0.9999999867968751
40,-0.01,-0.04,-1.0944010000457637e-09,1.2812499937865596e-05,90.00978802900015,204.79475498839335,204.8000045442666,8.333333333387927e-06,0.0001708333325022359,0.9999999854079862
41,-0.01025,-0.041,-1.2065771102243162e-09,1.345312492804851e-05,90.01027743045015,204.79449289470088,204.80000459021394,8.541666666639358e-06,0.00017937499903789928,0.9999999839123047
42,-0.0105,-0.042,-1.3271630336930685e-09,1.4109374916984052e-05,90.01077876852088,204.7942244239718,204.80000463960596,8.74999999989079e-06,0.00018812499889004437,0.9999999823044923
43,-0.010750000000000001,-0.043000000000000003,-1.4565689525625203e-09,1.4781249904501692e-05,90.01129204321236,204.79394957732606,204.8000046926106,8.958333333364266e-06,0.00019708333205721787,0.9999999805790799
44,-0.011,-0.044,-1.5952147691677964e-09,1.5468749890544586e-05,90.01181725452456,204.79366835591014,204.80000474939993,9.166666666615697e-06,0.00020624999853739986,0.9999999787304689
45,-0.01125,-0.045,-1.7435302197554848e-09,1.617187487488536e-05,90.0123544024575,204.79338076089735,204.80000481014994,9.375000000089173e-06,0.00021562499832888612,0.9999999767529297
46,-0.0115,-0.046,-1.901954703953379e-09,1.689062485741033e-05,90.01290348701117,204.7930867934875,204.8000048750406,9.583333333340605e-06,0.0002252083314293941,0.9999999746406034
47,-0.01175,-0.047,-2.0709374553007366e-09,1.762499983794896e-05,90.01346450818556,204.79278645490714,204.80000494425596,9.791666666592036e-06,0.00023499999783672279,0.9999999723875002
48,-0.012,-0.048,-2.2509374275614393e-09,1.8374999816330727e-05,90.01403746598069,204.7924797464095,204.80000501798395,1.0000000000065512e-05,0.00024499999754874665,0.9999999699875002
49,-0.012250000000000002,-0.04900000000000001,-2.4424234084108322e-09,1.9140624792385095e-05,90.01462236039656,204.79216666927437,204.80001021641647,1.0208333333316943e-05,0.0002552083305627429,0.9999999674343535
50,-0.0125,-0.05,-2.6458739057488855e-09,1.9921874765884696e-05,90.01521919143315,204.79184722480827,204.8000102997498,1.0416666666568375e-05,0.0002656249968760515,0.9999999647216798
51,-0.012750000000000001,-0.051000000000000004,-2.861777204543614e-09,2.0718749736658994e-05,90.01582795909047,204.7915214143443,204.80001038818378,1.0625000000041851e-05,0.00027624999648606804,0.999999961842969
52,-0.013000000000000001,-0.052000000000000005,-3.090631366831076e-09,2.1531249704423772e-05,90.01644866336854,204.79118923924236,204.80001048192244,1.0833333333293282e-05,0.00028708332938957105,0.9999999587915801
53,-0.013250000000000001,-0.053000000000000005,-3.3329441748719545e-09,2.235937466895166e-05,90.01708130426732,204.79085070088894,204.8000105811738,1.1041666666766758e-05,0.00029812499558360344,0.9999999555607425
54,-0.013500000000000002,-0.054000000000000006,-3.589233244838397e-09,2.320312463001528e-05,90.01772588178684,204.7905058006971,204.8000106861498,1.125000000001819e-05,0.00030937499506457697,0.9999999521435551
55,-0.013750000000000002,-0.05500000000000001,-3.8600258562837556e-09,2.4062499587330422e-05,90.0183823959271,204.79015454010667,204.80001079706645,1.1458333333269621e-05,0.0003208333278289313,0.9999999485329866
56,-0.014,-0.056,-4.1458591795162644e-09,2.4937499540669706e-05,90.01905084668809,204.78979692058402,204.80001091414377,1.1666666666743097e-05,0.00033249999387312674,0.9999999447218755
57,-0.01425,-0.057,-4.447280048225366e-09,2.582812448963523e-05,90.01973123406981,204.78943294362233,204.80001103760574,1.1874999999994529e-05,0.0003443749931929706,0.9999999407029303
58,-0.0145,-0.058,-4.764845130011963e-09,2.673437443399962e-05,90.02042355807225,204.7890626107413,204.80001833568005,1.208333333324596e-05,0.0003564583257842757,0.999999936468729
59,-0.014750000000000001,-0.059000000000000004,-5.099120812701585e-09,2.7656249373421815e-05,90.02112781869543,204.78868592348726,204.8000184725994,1.2291666666719436e-05,0.00036874999164285266,0.9999999320117196
60,-0.015000000000000001,-0.060000000000000005,-5.450683318031224e-09,2.859374930750391e-05,90.02184401593935,204.78830288343337,204.80001861659943,1.2499999999970868e-05,0.0003812499907638359,0.9999999273242196
61,-0.015250000000000001,-0.061000000000000006,-5.820118531119078e-09,2.954687423590485e-05,90.022572149804,204.78791349217929,204.80001876792008,1.2708333333444344e-05,0.00039395832314256384,0.9999999223984168
62,-0.0155,-0.062,-6.208022170994809e-09,3.051562415822673e-05,90.02331222028938,204.78751775135134,204.80001892680542,1.2916666666695775e-05,0.0004068749887736826,0.9999999172263684
63,-0.01575,-0.063,-6.6149996769127025e-09,3.149999907407164e-05,90.02406422739548,204.7871156626026,204.80001909350344,1.3124999999947207e-05,0.0004199999876518038,0.9999999118000013
64,-0.016,-0.064,-7.041666322038509e-09,3.2499998983041676e-05,90.02482817112234,204.78670722761265,204.80001926826608,1.3333333333420683e-05,0.0004333333197714961,0.9999999061111126
65,-0.01625,-0.065,-7.488647099762603e-09,3.35156238846821e-05,90.02560405146991,204.78629244808783,204.80001945134944,1.3541666666672114e-05,0.0004468749851266107,0.9999999001513689
66,-0.0165,-0.066,-7.9565767805434e-09,3.4546873778538156e-05,90.02639186843821,204.78587132576106,204.80002885901266,1.3749999999923546e-05,0.00046062498371093863,0.9999998939123066
