Time Index,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
21,-0.00525,-0.021,8.702516993854383e-07,-4.979769269268519e-06,89.9712638672226,193.6115114559532,215.92387424834033,-8.926716399227627e-05,-2.2912764138699538e-05,0.9284989182071757
22,-0.0055,-0.022,8.761256116911025e-07,-4.977492496638716e-06,89.97127358502287,214.4881207106529,207.6621104635363,-8.820647336326675e-05,-2.360587383513055e-05,1.0768219150965759
23,-0.00575,-0.023,8.822640456972088e-07,-4.975097937455833e-06,89.97128379512274,185.97113823514883,218.60817760724458,-0.00010474579189901903,-2.3252347128519814e-05,0.9890314907973288
24,-0.006,-0.024,8.886669971607322e-07,-4.972585587310202e-06,89.97129449322844,187.4171544245313,203.68071985667132,-0.00010244459544939428,-2.2852012900036515e-05,1.0444553655472208
25,-0.00625,-0.025,8.953344599547377e-07,-4.969955442394106e-06,89.97130567485078,216.66477190365399,204.13177939711971,-0.00010217520621444198,-2.3043969188791047e-05,1.028253359033286
26,-0.006500000000000001,-0.026000000000000002,9.022664263413829e-07,-4.96720749937514e-06,89.97131733530406,201.24882571715136,212.05139047392407,-0.00011278691992114691,-2.3661334517336136e-05,0.9528117430004531
27,-0.00675,-0.027,9.094628871907096e-07,-4.964341755276519e-06,89.97132946970491,207.9261894135604,190.94607114129693,-0.00012392116995625684,-2.3778515766832534e-05,0.9622494367327649
28,-0.007,-0.028,9.169238321573691e-07,-4.961358207407687e-06,89.97134207297105,205.42237924264757,210.88713636431066,-0.00012803961156753268,-2.3786759546037203e-05,1.012786545475652
29,-0.00725,-0.029,9.246492498195084e-07,-4.958256853300133e-06,89.97135513982009,213.72855422417788,208.75044455476586,-0.00012410097032695622,-2.3363127088805808e-05,1.0139232678151144
30,-0.0075,-0.03,9.326391277907683e-07,-4.955037690629327e-06,89.97136866476819,208.14776842619375,194.80072439869932,-0.00012401116305784982,-2.4861970693000817e-05,0.9664155627422347
31,-0.00775,-0.031,9.408934528105971e-07,-4.9517007172025784e-06,89.97138264212877,185.7941103935608,197.41051494077638,-0.00013973708505932728,-2.5733745924047728e-05,1.024990171075383
32,-0.008,-0.032,9.494122108148328e-07,-4.948245930903525e-06,89.97139706601108,206.83159249231335,197.86614463312796,-0.0001364508832437645,-2.428374803705121e-05,0.9900499851311728
